开奖日期,期号,中奖号码,销售额(元),中奖注数一等奖,中奖注数二等奖,详细
2012-07-26,2012087,03  10  11  13  14  22  09,333397892,5  (蒙 辽 鲁 滇..),125,
2012-07-24,2012086,08  09  13  15  22  23  08,329772984,14  (京 晋 黑 浙..),209,
2012-07-22,2012085,05  17  24  30  31  33  05,365440332,9  (蒙 辽 沪 浙..),108,
2012-07-19,2012084,02  10  20  26  28  29  14,340543862,6  (辽 黑 皖 鲁..),100,
2012-07-12,2012081,02  05  10  24  25  29  06,335807634,22  (冀 辽 吉 苏..),232,
2012-07-10,2012080,04  09  14  15  16  27  03,333462942,17  (冀 黑 浙 闽..),181,
2012-07-08,2012079,06  07  12  24  30  33  12,373462380,4  (豫 粤 桂 渝),127,
2012-07-05,2012078,08  15  22  24  28  33  12,339534852,6  (冀 浙 赣 鄂..),90,
2012-07-03,2012077,02  04  13  18  26  28  12,337698126,5  (京 津 冀 粤..),79,
2012-07-01,2012076,11  18  22  27  29  30  15,379484266,3  (沪 粤 青),81,
2012-06-28,2012075,04  06  22  23  29  32  11,351962062,23  (吉 鲁 粤 琼),77,
2012-06-26,2012074,15  16  18  19  28  32  08,354427342,5  (津 沪 浙 深圳..),70,
2012-06-24,2012073,04  07  09  10  17  27  05,383664428,8  (京 黑 浙 桂..),169,
2012-06-21,2012072,02  03  07  09  13  30  06,349310588,2  (闽 粤),96,
2012-06-19,2012071,03  04  19  21  22  23  08,359591294,8  (沪 苏 皖 赣..),104,
2012-06-17,2012070,02  03  04  24  31  32  11,403726842,10  (晋 辽 浙 皖..),121,
2012-06-14,2012069,08  10  11  18  20  29  06,363763394,19  (吉 浙 赣 深圳..),250,
2012-06-12,2012068,05  17  22  26  32  33  10,379754544,117  (京 辽 苏 湘..),120,
2012-06-10,2012067,04  05  10  21  26  30  16,415404644,10  (辽 苏 皖 赣..),181,
2012-06-07,2012066,01  02  09  26  29  33  12,389067662,7  (京 辽 闽),158,
2012-06-05,2012065,08  10  18  19  27  31  14,396002414,16  (京 晋 辽 沪..),152,
2012-06-03,2012064,05  10  11  16  23  24  11,444563890,12  (京 吉 黑 沪..),135,
2012-05-27,2012061,03  08  11  12  14  18  14,451440342,5  (吉 黑 豫 湘..),136,
2012-05-24,2012060,07  10  13  16  17  29  01,394479944,1  (冀),155,
2012-05-22,2012059,04  13  21  22  26  31  01,389786618,6  (冀 苏 闽 粤),205,
2012-05-20,2012058,03  06  15  20  25  26  04,416752864,4  (京 黑 沪),204,
2012-05-17,2012057,03  05  19  21  27  31  04,367753954,3  (蒙 皖 滇),143,
2012-05-15,2012056,04  07  14  17  26  31  10,363402618,11  (京 冀 黑 苏..),193,
2012-05-13,2012055,04  06  13  20  24  28  01,396120110,4  (晋 苏 桂 渝),110,
2012-05-10,2012054,06  14  18  20  30  33  14,356190234,5  (浙 鲁 粤 川..),64,
2012-05-08,2012053,04  15  22  25  27  33  04,342378036,1  (黑),140,
2012-05-06,2012052,02  03  05  06  20  24  04,383696656,5  (京 苏 渝),104,
2012-05-03,2012051,02  12  14  17  30  31  09,340256786,5  (蒙 沪 苏 桂..),116,
2012-05-01,2012050,07  13  15  17  19  24  11,319513602,6  (京 闽 鄂 桂),98,
2012-04-29,2012049,04  12  13  19  20  32  02,370994838,6  (晋 黑 深圳 桂..),95,
2012-04-26,2012048,01  05  14  22  24  30  10,352087342,7  (冀 辽 吉 沪..),86,
2012-04-24,2012047,06  07  11  16  32  33  11,346381150,6  (京 辽 浙 粤..),85,
2012-04-22,2012046,04  12  19  20  23  33  06,391900112,10  (黑 浙 皖 粤..),209,
2012-04-19,2012045,08  11  20  21  27  30  09,356502588,7  (黑 沪 苏 豫..),165,
2012-04-17,2012044,06  09  10  14  22  25  03,356462184,7  (蒙 滇 陕),123,
2012-04-10,2012041,08  11  15  20  24  32  02,356306648,6  (京 辽 浙 粤..),77,
2012-04-08,2012040,03  08  09  22  25  31  10,391299304,18  (辽 吉 皖 赣..),211,
2012-04-05,2012039,01  02  05  13  22  29  08,343264490,5  (皖 闽 粤 陕..),68,
2012-04-03,2012038,09  10  11  15  19  33  16,323004056,4  (津 赣 鲁 粤),102,
2012-04-01,2012037,05  14  19  24  28  33  09,393044730,4  (沪 鲁 粤 川),165,
2012-03-29,2012036,02  11  13  18  19  26  09,360667728,12  (苏 浙 皖 赣..),110,
2012-03-27,2012035,09  11  12  21  24  26  05,358931126,16  (冀 苏 浙 闽..),132,
2012-03-25,2012034,02  03  08  23  32  33  16,399671360,5  (黑 苏 浙 湘..),140,
2012-03-22,2012033,02  03  15  16  17  27  04,367684820,15  (京 冀 辽 黑..),388,
2012-03-20,2012032,01  02  10  17  22  24  04,364723646,2  (辽 滇),50,
2012-03-18,2012031,04  16  22  24  27  31  03,405489418,4  (苏 豫 鄂 陕),108,
2012-03-15,2012030,09  10  17  18  21  31  08,360021696,9  (津 蒙 浙 粤..),133,
2012-03-13,2012029,04  07  15  25  26  28  03,363574384,4  (鲁 豫 粤 贵),135,
2012-03-11,2012028,10  15  20  21  28  30  11,408320996,6  (吉 沪 浙 豫..),142,
2012-03-08,2012027,04  16  22  25  30  31  12,367033234,1  (浙),72,
2012-03-06,2012026,03  07  09  15  24  25  16,364748574,2  (黑 粤),107,
2012-03-04,2012025,03  08  09  17  25  27  06,403316356,12  (京 晋 辽 黑..),226,
2012-03-01,2012024,04  12  19  21  25  28  13,364173592,24  (晋 蒙 辽 黑..),289,
2012-02-23,2012021,01  15  16  18  22  30  03,367729098,3  (鲁 深圳 川),45,
2012-02-21,2012020,03  08  12  18  23  29  11,363324150,19  (京 冀 黑 沪..),354,
2012-02-19,2012019,07  14  18  20  22  30  16,400412500,7  (黑 浙 赣 鲁..),130,
2012-02-16,2012018,03  05  06  22  26  32  15,361743346,4  (京 冀 辽 深圳),78,
2012-02-14,2012017,06  09  14  19  25  28  10,360962760,26  (京 辽 沪 浙..),237,
2012-02-12,2012016,02  05  12  17  22  25  08,391806944,16  (京 津 黑 苏..),278,
2012-02-09,2012015,01  03  06  10  21  23  15,344966404,3  (冀 沪 鲁),77,
2012-02-07,2012014,01  02  05  16  28  30  12,332394836,59  (冀 苏 鲁 鄂..),112,
2012-02-05,2012013,06  08  24  29  30  32  13,382213084,10  (冀 苏 鲁 鄂..),164,
2012-02-02,2012012,15  17  18  20  23  27  01,330682334,2  (滇 青),75,
2012-01-31,2012011,04  14  15  16  20  26  05,322471622,15  (京 辽 沪 苏..),212,
2012-01-29,2012010,01  03  13  19  25  26  10,350707306,4  (辽 苏 皖 粤),112,
2012-01-19,2012009,04  16  24  26  27  33  11,371864904,7  (蒙 吉 苏 粤..),76,
2012-01-17,2012008,01  12  20  23  24  29  08,349794196,5  (京 浙 深圳 新),108,
2012-01-15,2012007,10  17  19  27  28  32  04,386798560,5  (辽 浙 赣 川..),88,
2012-01-12,2012006,02  22  25  29  32  33  08,365269490,17  (沪 苏 闽 鲁..),127,
2012-01-10,2012005,07  09  18  27  31  33  06,373157878,7  (冀 沪 赣 鲁..),102,
2012-01-08,2012004,01  05  10  11  21  23  16,422246096,4  (京 辽 苏 赣),153,
2012-01-01,2012001,01  04  05  09  15  17  06,433902388,6  (京 辽 吉 鄂..),110,
2011-12-29,2011153,05  08  09  10  20  25  13,403874136,16  (辽 赣 豫 粤),282,
2011-12-27,2011152,04  10  11  12  21  26  13,394544922,7  (京 苏 皖 湘..),285,
2011-12-25,2011151,07  11  16  19  31  33  10,428101842,6  (冀 沪 浙 闽..),190,
2011-12-22,2011150,08  10  12  15  22  27  13,385439474,8  (京 辽 沪 鄂..),215,
2011-12-20,2011149,04  05  06  07  23  31  16,365612730,1  (津),225,
2011-12-18,2011148,05  14  22  23  25  26  14,403588782,6  (冀 辽 浙 皖..),105,
2011-12-15,2011147,04  08  12  17  18  30  10,369715120,16  (京 冀 苏 赣..),275,
2011-12-13,2011146,11  23  26  28  32  33  10,367466864,5  (沪 苏 浙 鲁..),163,
2011-12-11,2011145,02  04  14  15  26  30  04,399835362,11  (辽 苏 浙 闽..),249,
2011-12-08,2011144,01  02  09  10  16  24  03,365097322,7  (冀 沪 鲁 豫..),78,
2011-12-06,2011143,07  08  12  14  15  30  16,359074808,4  (蒙 湘 粤),90,
2011-12-04,2011142,12  15  16  26  29  31  02,395266644,3  (沪 浙 滇),83,
2011-12-01,2011141,02  04  06  19  24  29  11,353185652,9  (晋 沪 苏 赣..),192,
2011-11-29,2011140,04  18  20  22  27  29  06,349582200,5  (冀 苏 浙 川),53,
2011-11-27,2011139,08  20  24  27  30  31  03,387797344,6  (冀 辽 浙 桂..),72,
2011-11-24,2011138,01  05  15  24  28  32  07,348154674,7  (辽 浙 豫 湘..),252,
2011-11-22,2011137,02  11  18  23  30  33  13,340607254,5  (黑 浙 湘 桂),128,
2011-11-15,2011134,01  02  06  07  30  31  10,337761116,12  (辽 浙 湘 粤..),84,
2011-11-13,2011133,12  14  20  21  25  31  16,376474284,7  (沪 浙 粤 深圳..),75,
2011-11-10,2011132,02  05  12  13  25  33  07,340242582,10  (冀 苏 粤 滇),138,
2011-11-08,2011131,02  07  09  17  21  25  01,329212830,5  (沪 鲁 陕 宁),131,
2011-11-06,2011130,07  14  18  23  25  32  15,368707538,3  (冀 辽 粤),86,
2011-11-03,2011129,07  10  11  21  23  26  06,336342794,8  (沪 苏 浙 赣..),120,
2011-11-01,2011128,09  11  14  17  19  23  12,330310278,7  (辽 皖 闽 鄂..),109,
2011-10-30,2011127,16  19  22  23  27  29  11,366718126,8  (冀 蒙 沪 皖..),93,
2011-10-27,2011126,03  07  13  18  23  26  16,329809254,2  (沪 深圳),198,
2011-10-25,2011125,03  10  15  24  27  32  08,322501850,10  (京 蒙 辽 浙..),117,
2011-10-23,2011124,09  18  19  26  31  32  16,356985192,7  (辽 苏 浙 赣..),123,
2011-10-20,2011123,01  04  05  14  19  28  16,329433846,3  (辽 鲁 新),155,
2011-10-18,2011122,10  12  18  26  27  31  03,307852112,7  (京 浙 皖 鄂..),142,
2011-10-16,2011121,04  14  22  25  32  33  02,342602202,2  (津 川),39,
2011-10-13,2011120,04  14  17  28  30  33  07,307300204,11  (沪 浙 皖 闽..),107,
2011-10-11,2011119,09  12  14  19  28  32  01,310270074,3  (冀 黑 鲁),81,
2011-10-09,2011118,05  06  11  14  20  21  10,346558714,6  (冀 沪 浙 鲁..),163,
2011-10-06,2011117,08  10  19  26  28  30  04,284670324,3  (黑 鲁 鄂),180,
2011-09-29,2011114,01  14  15  16  30  32  09,297745236,6  (辽 浙 鲁 豫..),75,
2011-09-27,2011113,06  10  11  25  32  33  05,301463604,4  (京 赣 湘 粤),84,
2011-09-25,2011112,03  05  16  18  23  24  15,335373070,4  (苏 豫 粤 琼),194,
2011-09-22,2011111,01  03  05  20  25  27  04,301379048,5  (沪 闽 豫 湘..),76,
2011-09-20,2011110,12  14  21  26  28  33  12,291747572,1  (桂),46,
2011-09-18,2011109,01  03  09  15  16  33  15,319837948,5  (辽 浙 鄂 深圳),92,
2011-09-15,2011108,02  17  22  26  29  33  10,282794584,4  (辽 鲁 陕),72,
2011-09-13,2011107,04  09  16  17  22  29  15,287460888,36  (京 辽 苏 浙..),428,
2011-09-11,2011106,02  11  12  14  24  32  14,313930786,5  (冀 苏 赣 深圳),118,
2011-09-08,2011105,04  06  23  25  27  28  01,292666602,6  (黑 鲁 粤),163,
2011-09-06,2011104,09  10  16  20  25  29  09,300386562,24  (京 沪 苏 闽..),193,
2011-09-04,2011103,04  05  10  13  15  16  12,334043508,8  (黑 浙 闽 鲁..),77,
2011-09-01,2011102,01  05  13  21  27  31  11,303886824,12  (津 冀 蒙 辽..),116,
2011-08-30,2011101,06  10  19  23  29  31  06,295906364,5  (津 苏 闽 粤),100,
2011-08-28,2011100,07  11  21  23  31  32  05,323046340,5  (晋 浙 皖 鲁),138,
2011-08-25,2011099,10  12  13  21  26  27  14,287051218,3  (京 辽 黑),61,
2011-08-23,2011098,03  07  20  21  22  32  05,283485974,2  (鲁 宁),51,
2011-08-21,2011097,09  17  19  20  21  26  16,323418670,19  (京 苏 浙 桂),108,
2011-08-14,2011094,09  11  12  17  18  19  05,329858052,14  (京 冀 辽 黑..),124,
2011-08-11,2011093,04  07  11  13  23  30  09,300330150,16  (京 冀 赣 鲁..),112,
2011-08-09,2011092,05  10  17  26  31  32  04,296160020,4  (辽 豫 湘 川),107,
2011-08-07,2011091,09  15  21  23  28  30  03,330377834,4  (豫 鄂 粤 桂),81,
2011-08-04,2011090,02  05  14  18  21  25  16,302158754,2  (浙 甘),76,
2011-08-02,2011089,01  02  11  24  29  30  12,299010020,11  (冀 吉 黑 浙..),96,
2011-07-31,2011088,03  09  17  20  21  29  04,327675114,8  (浙 鲁 渝),154,
2011-07-28,2011087,02  03  04  05  18  28  01,296896504,10  (京 沪 闽 鄂..),119,
2011-07-26,2011086,06  07  09  12  17  24  09,334074814,113  (浙 皖 闽 粤),110,
2011-07-24,2011085,03  06  11  21  24  31  10,371696466,10  (黑 沪 鲁 粤..),221,
2011-07-21,2011084,09  10  12  16  18  32  15,348473896,5  (豫 鄂 湘 粤..),68,
2011-07-19,2011083,07  16  18  24  28  29  06,346077740,7  (赣 豫 粤 川..),95,
2011-07-17,2011082,07  16  17  20  25  26  04,388800864,16  (冀 蒙 吉 浙..),179,
2011-07-14,2011081,06  14  19  23  25  32  12,347690264,4  (京 皖 琼 甘),128,
2011-07-12,2011080,02  07  09  25  31  32  09,348447154,10  (京 黑 浙 粤),77,
2011-07-10,2011079,03  14  15  16  24  29  05,391447400,5  (闽 鲁 鄂 粤),81,
2011-07-07,2011078,03  05  13  20  22  29  09,365761038,13  (京 黑 苏 皖..),101,
2011-07-05,2011077,01  07  08  15  26  29  10,366916974,10  (京 冀 晋 辽..),131,
2011-06-28,2011074,02  21  26  28  29  32  01,344333482,6  (蒙 辽 苏 赣..),29,
2011-06-26,2011073,03  04  05  12  17  21  14,362922526,7  (黑 苏 皖 闽..),127,
2011-06-23,2011072,01  06  10  11  18  27  12,313897806,6  (京 吉 沪 鲁..),107,
2011-06-21,2011071,01  02  15  22  28  30  02,310534104,3  (沪 浙 渝),57,
2011-06-19,2011070,01  03  05  12  21  28  12,342264942,7  (津 辽 吉 鲁..),219,
2011-06-16,2011069,02  13  16  18  24  30  12,308628372,5  (晋 蒙 赣 渝..),105,
2011-06-14,2011068,03  07  10  15  19  24  10,296012586,6  (浙 鄂 湘 陕),148,
2011-06-12,2011067,17  19  20  24  25  27  12,321776484,3  (沪 浙 豫),69,
2011-06-09,2011066,04  06  14  17  30  32  12,284641290,3  (京 苏 鄂),52,
2011-06-07,2011065,04  16  23  25  27  29  03,276483886,1  (粤),59,
2011-06-05,2011064,03  06  07  29  30  33  02,308305132,6  (冀 晋 豫 粤..),117,
2011-06-02,2011063,04  06  13  15  18  19  05,286784814,7  (苏 鲁 粤 深圳..),60,
2011-05-31,2011062,04  08  09  10  29  30  03,292576106,12  (京 吉 苏 浙..),162,
2011-05-29,2011061,02  03  08  13  19  21  03,329490066,20  (辽 吉 沪 苏..),116,
2011-05-26,2011060,10  11  13  21  27  31  01,294946664,4  (闽 川 贵 新),81,
2011-05-24,2011059,24  26  27  29  31  33  16,297661236,6  (湘 粤),92,
2011-05-22,2011058,07  18  22  30  32  33  06,321880622,8  (晋 苏 浙 闽..),83,
2011-05-19,2011057,04  06  20  21  26  33  02,293874448,2  (冀 苏),57,
2011-05-12,2011054,08  11  16  17  22  33  08,290127160,3  (辽 鄂 渝),94,
2011-05-10,2011053,03  06  10  12  22  30  15,282819042,3  (浙 赣),216,
2011-05-08,2011052,04  05  08  19  27  28  08,314222356,9  (京 津 皖 赣..),201,
2011-05-05,2011051,01  07  11  14  15  16  14,289337386,5  (京 津 浙 鄂),65,
2011-05-03,2011050,04  05  19  22  28  29  15,276013398,6  (冀 蒙 苏 浙..),141,
2011-05-01,2011049,01  11  17  18  27  31  14,298097446,2  (京 渝),188,
2011-04-28,2011048,10  14  18  25  26  27  15,280257800,0,65,
2011-04-26,2011047,04  13  23  25  27  33  14,278338352,3  (鄂 川),78,
2011-04-24,2011046,09  17  18  26  29  30  08,322849314,15  (京 津 晋 浙..),241,
2011-04-21,2011045,02  16  17  20  26  32  08,296409720,13  (京 晋 苏 浙..),69,
2011-04-19,2011044,03  14  16  26  27  31  09,289688506,9  (京 冀 黑 苏..),144,
2011-04-17,2011043,04  13  14  17  25  31  04,358996258,75  (京 津 冀 辽..),259,
2011-04-14,2011042,05  13  15  17  19  21  15,321302904,6  (沪 鲁 湘 粤..),107,
2011-04-12,2011041,04  10  12  13  30  32  13,308500156,3  (京 沪 赣),93,
2011-04-10,2011040,05  11  14  24  26  28  13,345011574,5  (闽 鲁),77,
2011-04-07,2011039,03  07  10  16  24  29  13,311094814,6  (晋 辽 鲁 豫..),188,
2011-04-05,2011038,02  14  15  19  23  24  12,289140916,3  (黑 闽 赣),92,
2011-04-03,2011037,01  03  04  06  17  25  11,330231608,10  (蒙 黑 鲁 粤..),106,
2011-03-27,2011034,13  14  17  19  24  31  08,345909126,7  (京 浙 粤 滇),44,
2011-03-24,2011033,02  08  12  13  19  29  04,307522678,8  (苏 闽 湘 粤..),212,
2011-03-22,2011032,03  05  07  13  14  15  15,302968920,13  (晋 蒙 苏 皖..),230,
2011-03-20,2011031,16  17  24  28  29  32  12,336612714,1  (鲁),52,
2011-03-17,2011030,02  09  19  24  25  33  10,304099208,20  (京 晋 辽 苏..),145,
2011-03-15,2011029,01  04  09  10  20  31  07,298361906,7  (京 苏 皖 闽..),98,
2011-03-13,2011028,01  04  05  14  16  17  01,341754088,6  (辽 浙 粤 新),148,
2011-03-10,2011027,13  18  21  22  25  26  01,304417422,5  (京 辽 鲁 深圳..),105,
2011-03-08,2011026,07  08  17  19  21  26  12,301792690,10  (京 冀 沪 苏..),296,
2011-03-06,2011025,08  25  26  31  32  33  09,335345846,4  (蒙 苏 皖 赣),80,
2011-03-03,2011024,05  07  10  19  26  31  14,293532026,8  (京 浙 豫 贵),194,
2011-03-01,2011023,02  03  06  21  22  25  05,280592202,3  (津 吉 湘),71,
2011-02-27,2011022,02  07  14  16  17  21  05,317202954,9  (京 冀 沪 豫..),51,
2011-02-24,2011021,01  02  14  18  25  31  08,287463484,9  (冀 晋 苏 豫..),226,
2011-02-22,2011020,12  16  17  19  24  30  05,278341148,5  (冀 浙 皖 粤..),51,
2011-02-20,2011019,02  04  12  19  32  33  16,309122016,3  (辽 苏 琼),51,
2011-02-17,2011018,13  15  18  28  30  33  01,273159286,7  (京 津 黑 鲁..),98,
2011-02-15,2011017,02  06  15  23  26  33  08,258279824,2  (京 豫),141,
2011-02-01,2011014,05  07  10  11  23  26  16,264496608,7  (鲁 粤 琼),156,
2011-01-30,2011013,01  03  13  16  21  22  08,288823754,8  (黑 苏 浙 赣..),41,
2011-01-27,2011012,07  08  11  13  15  26  13,260393668,4  (蒙 辽 黑 闽),124,
2011-01-25,2011011,01  12  18  19  21  24  10,255418250,10  (黑 沪 苏 浙..),73,
2011-01-23,2011010,01  04  05  09  15  19  13,286472328,9  (京 冀 黑 豫..),118,
2011-01-20,2011009,17  18  23  24  25  26  04,264626108,3  (冀 浙 粤),90,
2011-01-18,2011008,10  12  13  17  24  31  15,259069374,3  (蒙 苏 鄂),50,
2011-01-16,2011007,01  09  17  24  26  31  05,292948810,6  (浙 皖 渝),96,
2011-01-13,2011006,01  03  05  13  16  18  05,265273552,2  (浙 粤),95,
2011-01-11,2011005,06  09  12  14  20  22  13,258389670,1  (冀),109,
2011-01-09,2011004,04  06  08  10  13  26  05,283728968,2  (浙 湘),119,
2011-01-06,2011003,13  14  21  22  23  27  04,272943652,14  (辽 吉 黑 沪..),50,
2011-01-04,2011002,06  08  12  17  28  33  05,270533954,7  (京 沪 鲁 豫..),102,
2011-01-02,2011001,03  09  20  24  26  32  10,290720992,9  (京 辽 浙 粤..),76,
2010-12-30,2010153,03  06  12  19  30  31  13,287732956,15  (冀 晋 辽 沪..),124,
2010-12-28,2010152,04  09  17  21  25  31  01,283747722,11  (冀 吉 沪 浙..),244,
2010-12-26,2010151,02  13  14  17  19  26  14,315507700,6  (京 津 蒙 苏..),99,
2010-12-23,2010150,02  17  18  23  29  30  06,287200078,12  (晋 辽 浙 鲁..),104,
2003-10-09,2003066,03  07  08  20  24  32  14,45124280,0,0,
2003-10-05,2003065,06  15  16  17  30  33  11,41948818,0,0,
2003-10-02,2003064,04  06  08  12  15  30  01,40925392,0,0,
2003-09-28,2003063,05  08  09  14  21  33  11,45643734,0,0,
2003-09-25,2003062,01  06  12  19  20  32  14,40972030,0,0,
2003-09-21,2003061,03  05  20  21  28  32  02,38065358,0,0,
2003-09-18,2003060,02  04  06  17  21  28  11,35595266,0,0,
2003-09-14,2003059,02  03  05  06  18  30  04,33611668,0,0,
2003-09-11,2003058,09  11  16  28  32  33  02,31985104,0,0,
2003-09-07,2003057,18  19  24  25  30  31  16,32781224,0,0,
2003-09-04,2003056,08  17  21  26  28  29  07,32664536,0,0,
2003-08-31,2003055,06  13  16  21  28  31  16,29508178,0,0,
2003-08-28,2003054,02  05  09  21  31  33  12,29449334,0,0,
2003-08-24,2003053,15  19  20  21  28  29  13,29854724,0,0,
2003-08-21,2003052,01  12  13  23  30  31  11,28371758,0,0,
2003-08-17,2003051,04  13  15  17  24  27  01,24831800,0,0,
2003-08-14,2003050,02  08  17  23  24  26  13,28450710,0,0,
2003-08-10,2003049,03  06  07  13  24  25  15,27734490,0,0,
2003-07-31,2003046,07  08  10  11  17  26  11,27144542,0,0,
2003-07-27,2003045,03  07  14  15  17  32  03,26657064,0,0,
2003-07-24,2003044,02  05  09  16  32  33  15,26537776,0,0,
2003-07-20,2003043,02  08  10  19  20  32  13,27416990,0,0,
2003-07-17,2003042,03  05  07  10  15  20  07,26607702,0,0,
2003-07-13,2003041,02  03  17  18  24  25  11,28265402,0,0,
2003-07-10,2003040,04  05  06  12  14  23  16,27328054,0,0,
2003-07-06,2003039,03  05  23  24  27  32  03,27694202,0,0,
2003-07-03,2003038,05  07  08  24  25  27  16,26782590,0,0,
2003-06-29,2003037,09  14  17  18  26  32  07,26257640,0,0,
2003-06-26,2003036,07  21  24  25  27  28  15,25054376,0,0,
2003-06-22,2003035,03  04  05  08  10  11  08,25179768,0,0,
2003-06-19,2003034,08  13  14  16  23  25  14,22899946,0,0,
2003-06-15,2003033,01  07  14  20  27  30  10,22266754,0,0,
2003-06-12,2003032,04  11  25  27  29  30  13,20115568,0,0,
2003-06-08,2003031,11  17  20  22  28  32  01,18101608,0,0,
2003-06-05,2003030,02  06  13  14  23  27  07,16765384,0,0,
2003-06-01,2003029,02  07  15  26  29  32  10,17515374,0,0,
2003-05-22,2003026,08  13  15  26  29  31  16,16245314,0,0,
2003-05-18,2003025,01  05  11  13  14  27  12,16536260,0,0,
2003-05-15,2003024,02  07  15  17  22  30  14,15035104,0,0,
2003-05-11,2003023,01  10  20  22  26  31  02,15374822,0,0,
2003-05-08,2003022,02  07  11  12  14  32  08,13869188,0,0,
2003-05-04,2003021,14  15  18  25  26  30  01,13537342,0,0,
2003-05-01,2003020,07  10  25  26  27  32  04,14670860,0,0,
2003-04-27,2003019,04  08  12  13  16  33  09,15159580,0,0,
2003-04-24,2003018,05  16  19  20  25  28  13,14339392,0,0,
2003-04-20,2003017,05  08  18  23  25  31  06,14451270,0,0,
2003-04-17,2003016,11  17  28  30  31  33  06,13098324,0,0,
2003-04-13,2003015,04  11  19  25  26  32  13,13460134,0,0,
2003-04-10,2003014,03  05  07  08  21  31  02,12476130,0,0,
2003-04-06,2003013,08  13  17  21  23  32  12,12611880,0,0,
2003-04-03,2003012,02  12  16  17  27  30  12,12307262,0,0,
2003-03-30,2003011,04  05  11  12  30  32  15,12782494,0,0,
2003-03-27,2003010,01  02  08  13  17  24  13,12402130,0,0,
2003-03-23,2003009,05  09  18  20  22  30  09,12386072,0,0,
